BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key,Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs,,,,,,,
10:8C:CF:EA:C2:40, 2015-02-11 11:41:38, 2015-02-11 11:41:42,6,54, WPA2, CCMP, MGT,-47,0,0,   0.  0.  0.  0,6, bloomu, ,6C:71:D9:D4:15:2B, 2015-02-11 11:40:45, 2015-02-11 11:42:00,-26,7, 10:8C:CF:EA:C0:5B, bloomu-secure,,,,,,,
00:1C:F9:C1:EF:AA, 2015-02-11 11:32:34, 2015-02-11 11:41:01,1,54, OPN ,       ,   ,-35,2,0,   0.  0.  0.  0,11, bloomu-open, ,40:0E:85:4D:9A:9F, 2015-02-11 11:42:00, 2015-02-11 11:42:00,-41,4, (not associated) ,,,,,,,,
00:1C:F9:C1:EF:AB, 2015-02-11 11:32:34, 2015-02-11 11:41:01,1,54, WPA2, CCMP, MGT,-37,3,4,   0.  0.  0.  0,13, bloomu-secure, ,00:88:65:1E:56:86, 2015-02-11 11:42:00, 2015-02-11 11:42:00,-53,3, (not associated) ,,,,,,,,
00:23:AB:27:CB:1B, 2015-02-11 11:32:07, 2015-02-11 11:41:01,1,54, WPA2, CCMP, MGT,-38,3,2,   0.  0.  0.  0,13, bloomu-secure, ,0C:BD:51:13:CF:4A, 2015-02-11 11:42:00, 2015-02-11 11:42:00,-54,1, (not associated) ,,,,,,,,
00:1C:F9:C1:EF:A2, 2015-02-11 11:32:34, 2015-02-11 11:41:01,1,54, WPA2, CCMP,PSK,-42,4,0,   0.  0.  0.  0,10, bloomu-psk, ,F0:DB:E2:64:A6:E6, 2015-02-11 11:41:51, 2015-02-11 11:41:51,-26,1, (not associated) ,,,,,,,,
00:23:AB:BC:D8:CB, 2015-02-11 11:32:02, 2015-02-11 11:41:02,6,54, WPA2, CCMP, MGT,-44,960,9571,   0.  0.  0.  0,13, bloomu-secure, ,04:F1:3E:8B:C0:AF, 2015-02-11 11:41:52, 2015-02-11 11:41:52,-40,5, 10:8C:CF:EA:C0:5B, bloomu-secure,,,,,,,
10:8C:CF:B4:B4:B0, 2015-02-11 11:40:12, 2015-02-11 11:40:12,6,54, WPA2, CCMP, MGT,-54,0,0,   0.  0.  0.  0,6, bloomu, ,A8:5B:78:3F:CD:0F, 2015-02-11 11:41:51, 2015-02-11 11:41:51,-56,1, (not associated) , bloomu,,,,,,,
00:23:AB:27:CB:1A, 2015-02-11 11:32:07, 2015-02-11 11:39:38,1,54, OPN ,       ,   ,-34,1,1,   0.  0.  0.  0,11, bloomu-open, ,70:3E:AC:9A:E0:0A, 2015-02-11 11:39:28, 2015-02-11 11:41:41,-57,27, B0:00:B4:21:B2:50, bloomu,,,,,,,
00:23:AB:27:CB:10, 2015-02-11 11:32:34, 2015-02-11 11:39:38,1,54, WPA2, CCMP, MGT,-36,1,3,   0.  0.  0.  0,6, bloomu, ,50:55:27:DA:F6:36, 2015-02-11 11:36:15, 2015-02-11 11:41:28,-35,30, 00:23:AB:BC:D8:C0,,,,,,,,
00:23:AB:27:CB:12, 2015-02-11 11:32:07, 2015-02-11 11:39:38,1,54, WPA2, CCMP,PSK,-37,1,0,   0.  0.  0.  0,10, bloomu-psk, ,34:4D:F7:92:C2:BB, 2015-02-11 11:41:27, 2015-02-11 11:41:28,-43,9, (not associated) ,,,,,,,,
00:1C:F9:C1:EF:A0, 2015-02-11 11:32:11, 2015-02-11 11:39:38,1,54, WPA2OPN , CCMP, MGT,-38,1,6,   0.  0.  0.  0,6, bloomu, ,2C:54:CF:F4:9F:04, 2015-02-11 11:41:05, 2015-02-11 11:41:31,-52,4, (not associated) , bloomu,,,,,,,
40:F4:EC:DB:0A:8B, 2015-02-11 11:32:16, 2015-02-11 11:39:40,6,54, WPA2, CCMP, MGT,-50,613,100,   0.  0.  0.  0,13, bloomu-secure, ,CC:3A:61:D9:ED:C2, 2015-02-11 11:40:50, 2015-02-11 11:41:28,-53,8, B0:00:B4:21:B2:50, bloomu,,,,,,,
40:F4:EC:B2:DF:8A, 2015-02-11 11:37:08, 2015-02-11 11:39:28,11,54, OPN ,       ,   ,-51,1,0,   0.  0.  0.  0,11, bloomu-open, ,F0:DB:E2:62:91:B0, 2015-02-11 11:40:52, 2015-02-11 11:41:21,-50,6, B0:00:B4:21:B2:50, bloomu,,,,,,,
10:8C:CF:EA:39:0B, 2015-02-11 11:37:10, 2015-02-11 11:39:18,11,54, WPA2, CCMP, MGT,-51,0,0,   0.  0.  0.  0,13, bloomu-secure, ,60:BE:B5:E6:0B:86, 2015-02-11 11:39:21, 2015-02-11 11:41:21,-51,3, (not associated) , bloomu-open,,,,,,,
E8:04:62:0A:47:FA, 2015-02-11 11:32:35, 2015-02-11 11:39:10,11,54, OPN ,       ,   ,-51,0,0,   0.  0.  0.  0,11, bloomu-open, ,3C:25:D7:C1:1F:68, 2015-02-11 11:39:27, 2015-02-11 11:41:21,-56,42, B0:00:B4:21:B2:5B, bloomu-secure,,,,,,,
10:8C:CF:EA:39:02, 2015-02-11 11:37:12, 2015-02-11 11:38:59,11,54, WPA2, CCMP,PSK,-48,0,0,   0.  0.  0.  0,10, bloomu-psk, ,24:A2:E1:C2:62:E7, 2015-02-11 11:38:06, 2015-02-11 11:40:59,-49,2, (not associated) , bloomu,,,,,,,
10:8C:CF:EA:AD:CB, 2015-02-11 11:32:45, 2015-02-11 11:38:39,6,54, WPA2, CCMP, MGT,-41,59,27,   0.  0.  0.  0,13, bloomu-secure, ,FC:C2:DE:2A:12:55, 2015-02-11 11:40:48, 2015-02-11 11:40:48,-48,6, 00:23:AB:BC:D8:C0,,,,,,,,
